Character,1,2,3,4,5,6,7
Ginuwine,0,0,0,0,0,52,9
Kay Hanley,0,0,0,0,0,57,0
Bobby Knight Ranger,0,0,0,0,0,16,0
Dan,0,0,0,0,0,0,90
Roscoe,0,0,0,0,0,0,622
Zach Harrison,0,0,0,0,0,0,77
Pearl,0,0,0,0,0,0,76
Jen,0,0,0,0,0,0,50
Hank Muntak,0,0,0,0,0,0,190
Trodd,0,0,0,0,0,0,45
Josh Groban,0,0,0,0,0,0,8
Roz,0,0,0,0,0,0,93
Reporter,0,0,0,0,0,0,80
LeVondrious,0,0,0,0,0,0,48
Don Swanson,0,0,0,0,0,0,17
Vaughn Swanson,0,0,0,0,0,0,4
Lon Swanson,0,0,0,0,0,0,1
Randy,0,0,0,0,0,0,136
Kirsten Gillibrand,0,0,0,0,0,0,49
Orrin Hatch,0,0,0,0,0,0,58
Cory Booker,0,0,0,0,0,0,52
Madeleine Albright,0,0,0,0,0,0,114
Alyssa,0,0,0,0,0,0,30
June Hartwell,0,0,0,0,0,0,22
Kipp Bunthart,0,0,0,0,0,0,158
Sasha Dunkirk,0,0,0,0,0,0,5
Edgar Covington,0,0,0,0,0,0,99
John Cena,0,0,0,0,0,0,110
Walter Gunderson,0,0,0,0,0,0,65
Carl,0,0,0,0,0,0,20
Ian,0,0,0,0,0,0,14
Choir,0,0,0,0,0,0,9
Pastor,0,0,0,0,0,0,23
Jill Biden,0,0,0,0,0,0,37
Kid,0,0,0,0,0,0,36
